Ligand,Receptor
IL1A,IL1R1
IL1A,IL1R2
IL1B,IL1R1
IL1B,IL1R2
IL1RN,IL1R1
IL18,IL18R1
IL18,IL18RAP
IL2,IL2RA
IL2,IL2RB
IL2,IL2RG
IL4,IL4R
IL4,IL2RG
IL4,IL13RA1
IL7,IL7R
IL7,IL2RG
IL9,IL9R
IL9,IL2RG
IL13,IL13RA1
IL13,IL13RA2
IL13,IL4R
IL13,IL2RG
IL15,IL15RA
IL15,IL2RB
IL15,IL2RG
IL3,IL3RA
IL3,CSF2RB
IL5,IL5RA
IL5,CSF2RB
CSF2,CSF2RB
CSF2,CSF2RA
IL6,IL6R
IL6,IL6ST
IL11,IL6ST
IL11,IL11RA
CSF3,CSF3R
IL12A,IL12RB1
IL12B,IL12RB1
LIF,LIFR
LIF,IL6ST
OSM,OSMR
OSM,IL6ST
IL10,IL10RA
IL20,IL20RA
IL20,IL20RB
IL16,CD4
IL17A,IL17RA
IFNA1,LIFR
IFNB1,LIFR
IFNG,IFNGR1
CD40LG,CD40
LTB,LTBR
TNF,TNFRSF1A
TNF,TNFRSF1B
TNFRSF14,BTLA
CADM1,CRTAM
CCL1,CCR8
CCL11,CCR3
CCL13,CCR2
CCL13,CCR3
CCL14,CCR1
CCL15,CCR1
CCL15,CCR3
CCL16,CCR1
CCL17,CCR4
CCL18,GPER1
CCL18,CCR8
CCL19,CCR7
CCL2,CCR2
CCL20,CCR6
CCL21,CCR7
CCL22,CCR4
CCL23,CCR1
CCL24,CCR3
CCL25,CCR9
CCL26,CCR3
CCL27,CCR10
CCL3,CCR1
CCL3,CCR5
CCL4,CCR5
CCL5,CCR1
CCL5,CCR3
CCL5,CCR5
CCL7,CCR1
CCL7,CCR3
CCL7,CCR2
CCL8,CCR3
CD160,TNFRSF14
CD274,PDCD1
CD274,CD80
CD2,CD48
CD244,CD48
CD70,CD27
CD80,CD28
CD80,CTLA4
CD84,CD84
CD86,CD28
CD86,CTLA4
CSF1,CSF1R
CX3CL1,CX3CR1
CXCL1,CXCR1
CXCL1,CXCR2
CXCL10,CXCR3
CXCL11,CXCR3
CXCL12,CXCR4
CXCL13,CXCR5
CXCL2,CXCR2
CXCL3,CXCR2
CXCL5,CXCR2
CXCL6,CXCR1
CXCL6,CXCR2
CXCL8,CXCR1
CXCL8,CXCR2
CXCL9,CXCR3
EPO,EPOR
FASLG,FAS
FASLG,TNFRSF6B
FLT3LG,FLT3
HAVCR1,HAVCR1
ICOSLG,CD28
ICOSLG,ICOS
ICOSLG,CTLA4
KITLG,KIT
LGALS9,HAVCR2
LTA,TNFRSF1A
LTA,TNFRSF14
LY9,LY9
MSMB,MST1R
NECTIN1,CD96
NECTIN2,CD226
NECTIN2,TIGIT
NECTIN3,TIGIT
PDCD1LG2,PDCD1
PF4,CXCR3
PPBP,CXCR2
PVR,TIGIT
PVR,CD96
SLAMF1,SLAMF1
SLAMF6,SLAMF6
SLAMF7,SLAMF7
TGFB1,TGFBR1
TGFB2,TGFBR2
TGFB3,TGFBR3
TIMD4,HAVCR1
TNFSF10,TNFRSF10A
TNFSF10,TNFRSF10B
TNFSF10,TNFRSF10C
TNFSF10,TNFRSF10D
TNFSF11,TNFRSF11A
TNFSF11,TNFRSF11B
TNFSF11,TNFRSF10C
TNFSF12,TNFRSF25
TNFSF12,TNFRSF10D
TNFSF13,TNFRSF13B
TNFSF13,TNFRSF17
TNFSF13B,TNFRSF17
TNFSF13B,TNFRSF13B
TNFSF13B,TNFRSF13C
TNFSF14,LTBR
TNFSF14,TNFRSF14
TNFSF14,TNFRSF6B
TNFSF15,TNFRSF25
TNFSF15,TNFRSF6B
TNFSF18,TNFRSF18
TNFSF4,TNFRSF4
TNFSF8,TNFRSF8
TNFSF9,TNFRSF9
XCL1,XCR1
XCL2,XCR1
